=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2024-7-2_1-2-38
====================================================================================
1:2:38 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
1:2:38 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
1:2:38 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
1:2:38 | [PermissionManager] Perm (MenuWebHooks) has been registered!
1:2:38 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
1:2:38 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
1:2:38 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
1:2:38 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
1:2:38 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
1:2:38 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
1:2:38 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
1:2:38 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
1:2:38 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
1:2:38 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
1:2:38 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
1:2:38 | [PermissionManager] Perm (EspToolsMenu) has been registered!
1:2:38 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
1:2:38 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
1:2:38 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
1:2:38 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
1:2:38 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
1:2:38 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
1:2:38 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
1:2:38 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
1:2:38 | [PermissionManager] Adding Super Admin (76561198089301277)
1:2:38 | [PermissionManager] Loaded UserGroups.json
1:2:38 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
1:2:38 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
1:2:38 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
1:2:38 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
1:2:38 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
1:2:38 | Building Sets Loaded: 0
1:2:38 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
1:2:38 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
1:5:23 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) connected to server!
1:8:0 | Player "MGM_762" (steamId=76561198330451260) connected to server!
1:38:22 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
1:38:24 | Player "MGM_762" (steamId=76561198330451260) aborted logout process [canceledLogout]
1:53:40 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) initiated disconnect process...
1:53:42 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected early from server (EXIT NOW).
1:53:43 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected from server.
2:59:41 | Player "Odrie" (steamId=76561199351279242) connected to server!
3:23:15 | Player "Odrie" (steamId=76561199351279242) initiated disconnect process...
3:23:17 | Player "Odrie" (steamId=76561199351279242) disconnected early from server (EXIT NOW).
3:23:18 | Player "Odrie" (steamId=76561199351279242) disconnected from server.
7:18:23 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
7:18:26 | Player "MGM_762" (steamId=76561198330451260) disconnected from server.
