=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2024-7-20_23-59-9
====================================================================================
23:59:9 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
23:59:9 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
23:59:9 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
23:59:9 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
23:59:9 | Building Sets Loaded: 0
23:59:9 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
23:59:9 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
0:1:6 | Player "MGM_762" (steamId=76561198330451260) connected to server!
0:2:40 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) connected to server!
0:7:25 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_base at position: <3217.719238, 1.244025, 1614.096558>
0:7:36 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorframe at position: <3217.719238, 1.244025, 1614.096558>
0:7:38 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorfinished at position: <3217.719238, 1.244025, 1614.096558>
0:7:48 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_base at position: <3216.359863, 1.244968, 1608.252441>
0:7:49 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorframe at position: <3216.359863, 1.244968, 1608.252441>
0:7:50 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorfinished at position: <3216.359863, 1.244968, 1608.252441>
0:8:19 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_base at position: <3222.203857, 1.244497, 1606.893311>
0:8:20 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorframe at position: <3222.203857, 1.244497, 1606.893311>
0:8:21 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorfinished at position: <3222.203857, 1.244497, 1606.893311>
0:8:22 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_base at position: <3223.563232, 1.244025, 1612.737305>
0:8:23 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorframe at position: <3223.563232, 1.244025, 1612.737305>
0:8:23 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorfinished at position: <3223.563232, 1.244025, 1612.737305>
0:9:7 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_base at position: <3224.922607, 1.244497, 1618.581543>
0:9:8 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorframe at position: <3224.922607, 1.244497, 1618.581543>
0:9:9 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorfinished at position: <3224.922607, 1.244497, 1618.581543>
0:9:42 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_base at position: <3219.078369, 1.244968, 1619.940918>
0:9:43 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorframe at position: <3219.078369, 1.244968, 1619.940918>
0:9:44 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorfinished at position: <3219.078369, 1.244968, 1619.940918>
0:9:59 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_base at position: <3213.234619, 1.244497, 1621.300049>
0:10:0 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorframe at position: <3213.234619, 1.244497, 1621.300049>
0:10:1 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorfinished at position: <3213.234619, 1.244497, 1621.300049>
0:10:18 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_base at position: <3207.390381, 1.244968, 1622.659424>
0:10:19 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorframe at position: <3207.390381, 1.244968, 1622.659424>
0:10:20 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_floorfinished at position: <3207.390381, 1.244968, 1622.659424>
0:40:34 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_base at position: <3206.218262, -1.755031, 1627.552124>
0:40:41 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_support at position: <3206.218262, -1.755031, 1627.552124>
0:40:45 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_tread at position: <3206.218262, -1.755031, 1627.552124>
0:40:46 | Admin "NOVAKILLSFORYOU" (steamId=76561198089301277) built part wood_handrailing at position: <3206.218262, -1.755031, 1627.552124>
3:54:54 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) initiated disconnect process...
3:54:57 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected early from server (EXIT NOW).
3:54:57 | Player "NOVAKILLSFORYOU" (steamId=76561198089301277) disconnected from server.
5:40:9 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
5:40:12 | Player "MGM_762" (steamId=76561198330451260) disconnected from server.
14:18:46 | Player "1DEADMANWALKIN" (steamId=76561198056112020) connected to server!
16:20:50 | Player "1DEADMANWALKIN" (steamId=76561198056112020) initiated disconnect process...
16:20:53 | Player "1DEADMANWALKIN" (steamId=76561198056112020) disconnected from server.
17:26:42 | Player "MGM_762" (steamId=76561198330451260) connected to server!
17:31:34 | Player "1DEADMANWALKIN" (steamId=76561198056112020) connected to server!
17:36:35 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
17:36:38 | Player "MGM_762" (steamId=76561198330451260) disconnected from server.
17:41:9 | Player "MGM_762" (steamId=76561198330451260) connected to server!
19:17:49 | Player "1DEADMANWALKIN" (steamId=76561198056112020) initiated disconnect process...
19:17:52 | Player "1DEADMANWALKIN" (steamId=76561198056112020) disconnected from server.
20:18:36 | Player "1DEADMANWALKIN" (steamId=76561198056112020) connected to server!
21:11:4 | Player "1DEADMANWALKIN" (steamId=76561198056112020) initiated disconnect process...
21:11:7 | Player "1DEADMANWALKIN" (steamId=76561198056112020) disconnected from server.
23:40:18 | Player "MrCoin" (steamId=76561199274964934) connected to server!
23:46:28 | Player "MrCoin" (steamId=76561199274964934) initiated disconnect process...
23:50:48 | Player "MrCoin" (steamId=76561199274964934) connected to server!
0:30:17 | Player "MrCoin" (steamId=76561199274964934) initiated disconnect process...
0:30:18 | Player "MrCoin" (steamId=76561199274964934) disconnected early from server (EXIT NOW).
0:30:20 | Player "MrCoin" (steamId=76561199274964934) disconnected from server.
0:32:29 | Player "MGM_762" (steamId=76561198330451260) initiated disconnect process...
0:32:32 | Player "MGM_762" (steamId=76561198330451260) disconnected from server.
